ID_PE;COD_NI;ID_MAT;COD_EST;ID_SEX;COD_PRO;ED_EST;N1;N2
59;8;79;27292;1;18;23;7;8
58;7;51;27292;1;18;22;5;10
59;8;71;27284;1;10;22;7;8
58;7;70;27284;1;10;21;8;9
58;7;31;27284;1;10;21;6;9
58;7;51;27284;1;10;21;7;10
59;8;79;27284;1;10;22;8;8
59;8;62;27284;1;10;22;7;8
58;7;97;27284;1;10;21;5;7
59;8;71;27289;1;17;23;7;10
59;8;62;27289;1;17;23;8;10
59;8;79;27289;1;17;23;8;10
58;7;51;27289;1;17;22;8;10
58;7;31;27289;1;17;22;4;6
58;7;97;27289;1;17;22;5;5
58;7;70;27289;1;17;22;8;8
58;7;97;27305;1;05;20;5;6
58;7;70;27305;1;05;20;8;8
59;8;79;27300;1;23;23;7;9
58;7;31;27305;1;05;20;6;7
59;8;62;27305;1;05;21;5;7
59;8;71;27305;1;05;21;7;9
58;7;51;27305;1;05;20;5;8
58;7;97;27304;1;05;23;5;5
59;7;31;27304;1;05;24;7;9
59;7;97;27304;1;05;24;7;9
59;8;79;27305;1;05;21;8;8
59;8;71;27310;1;05;22;8;10
59;8;79;27310;1;05;22;8;10
59;8;62;27310;1;05;22;8;10
58;7;70;27310;1;05;21;8;9
58;7;51;27310;1;05;21;8;9
58;7;97;27310;1;05;21;4;7
59;8;79;27301;1;04;21;8;10
58;7;31;27301;1;04;20;6;8
58;7;97;27301;1;04;20;6;6
58;7;70;27301;1;04;20;8;9
58;7;51;27301;1;04;20;7;10
59;8;62;27301;1;04;21;8;10
59;8;71;27301;1;04;21;7;10
58;7;31;27304;1;05;23;4;7
58;7;51;27304;1;05;23;6;8
58;7;70;27304;1;05;23;7;9
59;8;62;27300;1;23;23;7;7
59;8;71;27303;1;05;21;7;7
59;8;62;27303;1;05;21;6;7
59;8;79;27303;1;05;21;7;9
58;7;31;27303;1;05;20;5;6
58;7;51;27303;1;05;20;7;8
58;7;97;27303;1;05;20;4;5
58;7;70;27303;1;05;20;6;10
59;7;51;27344;1;06;22;8;10
59;7;70;27355;1;04;21;8;10
59;7;97;27344;1;06;22;7;10
59;7;31;27344;1;06;22;8;9
59;7;70;27344;1;06;22;8;10
59;7;31;27356;1;17;22;6;8
59;7;51;27355;1;04;21;6;8
59;7;31;27355;1;04;21;7;9
59;7;97;27356;1;17;22;7;10
59;7;70;27356;1;17;22;8;10
59;7;70;27343;1;05;23;8;10
59;7;51;27343;1;05;23;5;6
59;7;31;27343;1;05;23;6;7
59;7;97;27343;1;05;23;7;9
59;7;51;27356;1;17;22;5;7
59;7;97;27351;1;17;22;7;8
59;7;97;27355;1;04;21;8;10
59;7;70;27351;1;17;22;8;10
59;7;51;27351;1;17;22;7;9
59;7;31;27351;1;17;22;7;8
59;7;31;27353;1;17;23;7;8
59;7;70;27353;1;17;23;8;10
59;7;97;27353;1;17;23;7;10
59;7;97;27349;1;17;22;7;10
59;7;70;27349;1;17;22;8;10
59;7;51;27349;1;17;22;5;7
59;7;31;27349;1;17;22;6;9
59;7;51;27353;1;17;23;5;7
59;7;70;27359;1;18;22;8;10
59;7;51;27359;1;18;22;5;7
59;7;31;27359;1;18;22;7;9
59;7;97;27359;1;18;22;7;10
59;7;51;27384;1;17;24;6;7
59;7;31;27384;1;17;24;7;9
59;7;70;27384;1;17;24;8;10
59;7;97;27384;1;17;24;8;10
59;7;31;27382;1;06;21;7;8
59;7;70;27382;1;06;21;8;10
59;7;51;27382;1;06;21;6;8
59;7;97;27379;1;18;22;7;8
59;7;51;27379;1;18;22;8;9
59;7;70;27379;1;18;22;8;10
59;7;31;27379;1;18;22;7;8
59;7;70;27381;1;17;22;8;10
59;7;97;27382;1;06;21;8;10
59;7;51;27381;1;17;22;5;7
59;7;97;27381;1;17;22;7;10
59;7;31;27381;1;17;22;7;8
59;7;51;27394;1;11;28;8;10
59;7;51;27399;1;05;22;5;7
59;7;70;27399;1;05;22;8;10
59;7;97;27399;1;05;22;7;10
59;7;31;27399;1;05;22;6;8
59;7;31;27387;1;14;21;7;9
59;7;70;27387;1;14;21;8;10
59;7;31;27386;1;06;23;7;9
59;7;97;27386;1;06;23;7;10
59;7;70;27386;1;06;23;8;10
59;7;51;27386;1;06;23;6;9
59;7;97;27387;1;14;21;8;10
59;7;51;27387;1;14;21;7;8
59;7;97;27394;1;11;28;7;9
59;7;31;27394;1;11;28;8;9
59;7;70;27394;1;11;28;8;10
59;7;51;27369;1;17;22;8;9
59;7;70;27369;1;17;22;8;10
59;7;31;27369;1;17;22;8;9
59;7;97;27369;1;17;22;7;9
59;7;51;27370;1;06;22;8;10
59;7;31;27370;1;06;22;7;9
59;7;70;27370;1;06;22;8;10
59;7;97;27370;1;06;22;7;9
59;7;51;27363;1;17;23;8;9
59;7;31;27363;1;17;23;8;9
59;7;97;27363;1;17;23;7;9
59;7;70;27363;1;17;23;8;10
59;7;70;27364;1;11;22;8;10
59;7;97;27364;1;11;22;7;10
59;7;51;27364;1;11;22;7;9
59;7;31;27364;1;11;22;7;9
59;7;51;27374;1;18;22;8;10
59;7;70;27374;1;18;22;8;10
59;7;97;27374;1;18;22;7;10
59;7;31;27374;1;18;22;7;9
59;7;97;27373;1;06;22;7;10
59;7;31;27373;1;06;22;6;9
59;7;51;27373;1;06;22;5;7
59;7;31;27376;1;05;23;7;9
59;7;97;27376;1;05;23;8;10
59;7;70;27376;1;05;23;8;10
59;7;51;27376;1;05;23;6;8
59;7;51;27371;1;06;22;6;8
59;7;70;27371;1;06;22;8;10
59;7;97;27371;1;06;22;7;10
59;7;31;27371;1;06;22;7;8
59;7;70;27373;1;06;22;8;10
59;7;51;27372;1;18;22;7;9
59;7;31;27372;1;18;22;7;8
59;7;97;27372;1;18;22;8;8
59;7;70;27372;1;18;22;8;10
59;7;31;27424;1;18;22;6;8
59;7;51;27424;1;18;22;5;7
59;7;70;27419;1;06;21;8;10
59;7;51;27419;1;06;21;5;7
59;7;97;27424;1;18;22;7;10
59;7;70;27424;1;18;22;8;10
59;7;31;27430;1;06;22;8;9
59;7;51;27430;1;06;22;8;10
59;7;70;27430;1;06;22;8;10
59;7;97;27430;1;06;22;7;10
59;7;97;27427;1;18;23;7;9
59;7;70;27427;1;18;23;8;10
59;7;51;27427;1;18;23;8;10
59;7;31;27427;1;18;23;7;9
59;7;97;27419;1;06;21;7;10
59;7;31;27419;1;06;21;7;8
59;7;51;27417;1;06;22;8;10
59;7;31;27417;1;06;22;6;8
59;7;70;27417;1;06;22;8;10
59;7;97;27417;1;06;22;7;9
59;7;51;27413;1;05;24;8;10
59;7;70;27413;1;05;24;8;10
59;7;97;27413;1;05;24;7;10
59;7;31;27413;1;05;24;8;9
59;7;97;27414;1;02;25;7;9
59;7;31;27414;1;02;25;7;9
59;7;51;27414;1;02;25;8;10
59;7;70;27414;1;02;25;8;10
59;7;31;27404;1;16;27;6;7
57;7;97;27435;1;05;22;4;7
59;8;62;27435;1;05;23;6;8
59;8;71;27435;1;05;23;8;9
59;8;79;27435;1;05;23;7;9
57;7;51;27435;1;05;22;6;6
58;7;31;27436;1;05;22;6;6
58;7;51;27436;1;05;22;7;9
58;7;70;27436;1;05;22;6;8
58;7;97;27436;1;05;22;5;6
59;7;97;27404;1;16;27;7;9
57;7;70;27435;1;05;22;7;9
59;7;70;27404;1;16;27;8;10
57;7;31;27435;1;05;22;6;7
59;7;51;27404;1;16;27;5;7
58;7;97;27435;1;05;22;6;7
59;7;97;27408;1;06;22;7;10
59;7;31;27408;1;06;22;8;9
59;7;51;27408;1;06;22;6;9
59;7;70;27408;1;06;22;8;10
59;11;169;26850;1;05;23;8;9
58;10;135;26869;1;18;23;8;10
56;8;62;26849;1;17;22;5;9
56;8;79;26849;1;17;22;3;9
59;11;167;26850;1;05;23;8;9
59;11;165;26850;1;05;23;7;10
59;11;164;26850;1;05;23;8;10
59;11;166;26850;1;05;23;8;9
55;7;70;26850;1;05;21;6;9
58;10;135;26850;1;05;22;6;10
58;10;111;26850;1;05;22;6;6
58;10;106;26850;1;05;22;6;8
58;10;102;26850;1;05;22;6;9
58;10;98;26850;1;05;22;6;7
55;7;31;26850;1;05;21;6;8
59;11;163;26850;1;05;23;7;9
55;7;51;26849;1;17;22;6;10
59;11;163;26849;1;17;24;8;8
59;11;165;26849;1;17;24;7;10
59;11;164;26849;1;17;24;7;8
59;11;169;26849;1;17;24;7;10
59;11;166;26849;1;17;24;7;10
59;11;167;26849;1;17;24;7;9
58;10;102;26849;1;17;23;6;10
58;10;106;26849;1;17;23;7;10
56;8;71;26849;1;17;22;5;8
55;7;70;26849;1;17;22;8;7
55;7;31;26849;1;17;22;6;8
57;9;33;26849;1;17;23;5;8
57;9;72;26849;1;17;23;7;8
55;7;97;26849;1;17;22;4;10
58;10;98;26849;1;17;23;6;8
58;10;111;26849;1;17;23;5;9
58;10;135;26849;1;17;23;8;10
55;7;70;26851;1;06;21;8;9
58;10;98;26851;1;06;22;6;8
58;10;102;26851;1;06;22;7;10
58;10;106;26851;1;06;22;7;9
56;8;62;26851;1;06;21;6;10
56;8;71;26851;1;06;21;6;8
56;8;79;26851;1;06;21;7;9
55;7;97;26850;1;05;21;7;9
55;7;51;26851;1;06;21;7;9
59;11;169;26851;1;06;23;7;10
55;7;97;26851;1;06;21;7;10
57;9;33;26851;1;06;22;7;9
55;7;31;26851;1;06;21;7;9
57;9;72;26851;1;06;22;6;8
56;8;79;26850;1;05;21;7;8
56;8;62;26850;1;05;21;6;7
56;8;71;26850;1;05;21;5;7
57;9;33;26850;1;05;22;6;7
57;9;72;26850;1;05;22;6;6
58;10;135;26851;1;06;22;8;10
58;10;111;26851;1;06;22;6;8
59;11;164;26851;1;06;23;8;8
59;11;165;26851;1;06;23;6;10
59;11;166;26851;1;06;23;8;10
59;11;167;26851;1;06;23;7;9
59;11;163;26851;1;06;23;8;9
55;7;51;26850;1;05;21;5;10
59;11;165;26847;1;02;24;7;10
55;7;51;26843;1;06;21;7;10
55;7;31;26843;1;06;21;6;8
55;7;97;26843;1;06;21;8;10
55;7;70;26843;1;06;21;8;9
56;8;79;26847;1;02;22;6;9
59;11;166;26847;1;02;24;8;10
59;11;169;26847;1;02;24;7;10
59;11;163;26847;1;02;24;8;8
59;11;164;26847;1;02;24;8;10
59;11;167;26847;1;02;24;7;9
58;10;106;26847;1;02;23;8;9
58;10;111;26847;1;02;23;7;8
58;10;98;26847;1;02;23;6;9
58;10;135;26847;1;02;23;8;10
58;10;111;26843;1;06;22;7;9
59;11;164;26843;1;06;23;8;9
59;11;167;26843;1;06;23;8;10
59;11;169;26843;1;06;23;8;10
59;11;166;26843;1;06;23;8;9
59;11;163;26843;1;06;23;7;9
58;10;106;26843;1;06;22;7;10
57;9;72;26843;1;06;22;7;8
58;10;102;26843;1;06;22;7;10
58;10;135;26843;1;06;22;8;9
57;9;33;26843;1;06;22;6;8
58;10;98;26843;1;06;22;6;7
56;8;79;26843;1;06;21;6;8
56;8;71;26843;1;06;21;6;8
56;8;62;26843;1;06;21;6;10
56;8;71;26847;1;02;22;7;8
59;11;165;26843;1;06;23;7;9
58;10;98;26848;1;10;23;6;7
58;10;102;26848;1;10;23;6;9
58;10;106;26848;1;10;23;8;9
58;10;111;26848;1;10;23;8;8
58;10;135;26848;1;10;23;8;9
56;8;62;26848;1;10;22;6;8
58;10;102;26847;1;02;23;7;8
56;8;79;26848;1;10;22;5;8
59;11;169;26848;1;10;24;7;9
55;7;70;26848;1;10;22;7;8
57;9;72;26848;1;10;23;7;7
55;7;31;26848;1;10;22;5;8
57;9;33;26848;1;10;23;5;8
55;7;51;26848;1;10;22;7;9
55;7;97;26848;1;10;22;4;8
59;10;111;26855;1;18;24;8;10
56;8;71;26848;1;10;22;6;7
56;8;62;26847;1;02;22;8;9
57;9;33;26847;1;02;23;6;8
55;7;97;26847;1;02;22;8;8
55;7;70;26847;1;02;22;7;9
57;9;72;26847;1;02;23;7;8
55;7;51;26847;1;02;22;7;10
55;7;31;26847;1;02;22;8;8
59;11;163;26848;1;10;24;8;9
59;11;164;26848;1;10;24;8;9
59;11;166;26848;1;10;24;8;10
59;11;165;26848;1;10;24;7;10
59;11;167;26848;1;10;24;7;9
55;7;97;26862;1;17;22;7;9
59;11;169;26862;1;17;24;7;10
59;11;163;26862;1;17;24;8;9
59;11;164;26862;1;17;24;7;8
59;11;165;26862;1;17;24;8;10
58;10;102;26862;1;17;23;7;8
58;10;98;26862;1;17;23;5;9
58;10;111;26862;1;17;23;5;8
58;10;135;26862;1;17;23;7;9
58;10;106;26862;1;17;23;5;9
56;8;79;26862;1;17;22;6;8
56;8;71;26862;1;17;22;7;8
55;7;31;26862;1;17;22;7;9
57;9;33;26862;1;17;23;7;7
57;9;72;26862;1;17;23;5;7
55;7;51;26862;1;17;22;6;10
55;7;70;26862;1;17;22;8;7
58;10;106;26861;1;18;23;8;10
56;8;62;26862;1;17;22;7;7
55;7;51;26861;1;18;22;7;8
58;10;135;26861;1;18;23;8;9
56;8;79;26861;1;18;22;6;8
56;8;62;26861;1;18;22;5;10
56;8;71;26861;1;18;22;7;7
57;9;33;26861;1;18;23;6;6
57;9;72;26861;1;18;23;6;8
59;11;166;26862;1;17;24;8;10
55;7;31;26861;1;18;22;5;8
59;11;167;26862;1;17;24;7;9
55;7;70;26861;1;18;22;7;9
55;7;97;26861;1;18;22;5;8
57;9;33;26864;1;10;23;6;7
57;9;72;26864;1;10;23;6;7
56;8;62;26864;1;10;22;8;8
59;11;164;26869;1;18;24;8;10
59;11;169;26869;1;18;24;8;10
59;11;167;26869;1;18;24;7;9
59;11;163;26869;1;18;24;8;9
59;11;165;26869;1;18;24;7;10
59;11;166;26869;1;18;24;8;10
58;10;106;26869;1;18;23;7;10
58;10;98;26869;1;18;23;6;10
58;10;98;26864;1;10;23;5;8
59;11;163;26864;1;10;24;8;9
59;11;167;26864;1;10;24;7;7
59;11;169;26864;1;10;24;7;10
59;11;164;26864;1;10;24;8;8
59;11;165;26864;1;10;24;7;10
55;7;51;26864;1;10;22;7;9
58;10;111;26864;1;10;23;7;8
58;10;102;26864;1;10;23;6;10
58;10;135;26864;1;10;23;8;10
55;7;70;26864;1;10;22;8;8
55;7;97;26864;1;10;22;5;9
55;7;31;26864;1;10;22;7;8
58;10;106;26864;1;10;23;6;9
56;8;71;26864;1;10;22;7;8
56;8;79;26864;1;10;22;4;8
58;10;102;26861;1;18;23;7;10
59;11;166;26864;1;10;24;8;10
56;8;79;26858;1;17;21;7;9
59;11;166;26858;1;17;23;8;9
59;11;167;26858;1;17;23;7;9
59;11;165;26858;1;17;23;8;10
59;11;164;26858;1;17;23;8;9
59;11;163;26858;1;17;23;8;9
59;11;169;26858;1;17;23;8;10
58;10;102;26858;1;17;22;7;10
58;10;106;26858;1;17;22;7;9
58;10;98;26858;1;17;22;7;8
58;10;135;26858;1;17;22;8;9
56;8;62;26858;1;17;21;6;10
56;8;71;26858;1;17;21;6;7
55;7;97;26858;1;17;21;6;8
57;9;72;26858;1;17;22;6;8
57;9;33;26858;1;17;22;6;8
55;7;51;26858;1;17;21;8;9
58;10;111;26861;1;18;23;8;10
58;10;111;26858;1;17;22;8;9
55;7;97;26855;1;18;22;5;7
59;10;106;26855;1;18;24;8;10
59;10;102;26855;1;18;24;8;8
59;10;98;26855;1;18;24;7;9
59;10;135;26855;1;18;24;8;10
56;8;71;26855;1;18;22;7;6
56;8;79;26855;1;18;22;5;8
56;8;62;26855;1;18;22;5;10
55;7;31;26855;1;18;22;6;7
58;9;72;26855;1;18;23;7;9
58;9;33;26855;1;18;23;7;8
55;7;70;26855;1;18;22;7;9
55;7;51;26855;1;18;22;6;7
56;8;62;26860;1;10;22;8;9
56;8;79;26860;1;10;22;6;9
57;9;72;26860;1;10;23;7;8
55;7;97;26860;1;10;22;8;8
55;7;31;26860;1;10;22;7;9
55;7;51;26860;1;10;22;6;10
57;9;33;26860;1;10;23;7;8
55;7;70;26860;1;10;22;8;9
55;7;31;26858;1;17;21;6;8
56;9;33;26812;1;06;22;3;8
59;11;169;26861;1;18;24;7;10
59;11;165;26861;1;18;24;8;10
59;11;166;26861;1;18;24;8;10
59;11;167;26861;1;18;24;7;9
59;11;164;26861;1;18;24;7;9
59;11;163;26861;1;18;24;8;9
58;10;98;26861;1;18;23;6;8
59;11;165;26860;1;10;24;7;10
